City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Saskylakh,RU,2020-08-18 05:33:47,71.92,114.08,52.45,61,86,11.88
104,Busselton,AU,2020-08-18 05:33:47,-33.65,115.33,62.01,37,61,15.61
105,Sabha,LY,2020-08-18 05:33:47,27.04,14.43,82.94,25,0,9.86
106,Kapaa,US,2020-08-18 05:33:22,22.08,-159.32,78.8,74,40,13.87
107,Moctezuma,MX,2020-08-18 05:33:48,29.8,-109.67,80.37,41,9,3.0
108,Esperance,AU,2020-08-18 05:33:48,-33.87,121.9,59.0,67,75,24.16
109,Tomohon,ID,2020-08-18 05:33:48,1.33,124.84,91.4,52,20,8.05
110,Asau,RO,2020-08-18 05:33:48,46.43,26.4,66.99,76,0,2.84
111,Yatou,CN,2020-08-18 05:33:48,37.15,122.38,83.59,84,55,13.09
112,Nhulunbuy,AU,2020-08-18 05:33:49,-12.23,136.77,86.0,20,0,12.75
113,Hermanus,ZA,2020-08-18 05:33:49,-34.42,19.23,50.0,73,90,8.01
114,Okhotsk,RU,2020-08-18 05:33:49,59.38,143.3,56.7,85,100,9.66
115,Mataura,NZ,2020-08-18 05:33:07,-46.19,168.86,43.54,71,100,2.8
116,Chara,RU,2020-08-18 05:33:49,56.91,118.26,59.05,40,39,0.36
117,Sao Jose Da Coroa Grande,BR,2020-08-18 05:33:50,-8.9,-35.15,73.42,83,43,9.35
118,Komsomolskiy,UZ,2020-08-18 05:33:50,40.43,71.72,75.2,44,75,9.17
119,Ilulissat,GL,2020-08-18 05:33:50,69.22,-51.1,44.6,68,89,1.12
120,Coihaique,CL,2020-08-18 05:33:50,-45.58,-72.07,37.4,55,34,5.82
121,Oussouye,SN,2020-08-18 05:33:50,12.48,-16.55,80.6,94,40,9.17
122,Lavrentiya,RU,2020-08-18 05:33:51,65.58,-171.0,51.1,77,100,11.7
123,Kruisfontein,ZA,2020-08-18 05:31:24,-34.0,24.73,44.01,79,80,11.99
124,Kaitangata,NZ,2020-08-18 05:32:58,-46.28,169.85,48.0,69,100,7.0
125,Vardo,NO,2020-08-18 05:33:51,70.37,31.11,46.4,87,75,5.82
126,Nuuk,GL,2020-08-18 05:33:51,64.18,-51.72,51.8,57,0,10.29
127,Charters Towers,AU,2020-08-18 05:33:52,-20.1,146.27,83.53,15,0,4.94
128,Manzil Salim,TN,2020-08-18 05:33:52,35.86,8.48,68.0,56,25,5.82
129,Paraiso,CR,2020-08-18 05:30:14,9.84,-83.87,66.2,100,96,3.36
130,Hobart,AU,2020-08-18 05:32:39,-42.88,147.33,57.2,62,75,3.36
131,Sao Filipe,CV,2020-08-18 05:33:52,14.9,-24.5,78.08,85,23,1.95
132,Bilma,NE,2020-08-18 05:33:53,18.69,12.92,90.05,21,0,6.69
133,Vestmannaeyjar,IS,2020-08-18 05:33:53,63.44,-20.27,53.08,91,66,3.29
134,Usinsk,RU,2020-08-18 05:33:53,65.99,57.53,50.07,91,100,6.87
135,Airai,TL,2020-08-18 05:33:53,-8.93,125.41,72.28,54,8,4.85
136,Carnarvon,AU,2020-08-18 05:29:57,-24.87,113.63,69.8,49,53,11.41
137,Nikolskoye,RU,2020-08-18 05:33:54,59.7,30.79,62.01,82,56,1.88
138,Chokurdakh,RU,2020-08-18 05:33:54,70.63,147.92,46.67,62,100,9.33
139,Namtsy,RU,2020-08-18 05:33:54,62.72,129.67,62.6,39,20,6.71
140,Ialibu,PG,2020-08-18 05:33:54,-6.28,143.99,62.46,96,53,2.55
141,Hun,LY,2020-08-18 05:33:55,29.13,15.95,83.66,27,0,3.71
142,Ibra,OM,2020-08-18 05:33:55,22.69,58.53,98.35,30,17,3.38
143,Katangli,RU,2020-08-18 05:33:55,51.71,143.23,55.81,85,100,14.9
144,Pavullo Nel Frignano,IT,2020-08-18 05:33:55,44.33,10.84,71.01,68,99,1.01
145,Goianesia,BR,2020-08-18 05:33:55,-15.32,-49.12,68.68,40,0,2.15
146,Massaguet,TD,2020-08-18 05:33:56,12.48,15.44,77.0,94,100,6.93
147,Katherine,AU,2020-08-18 05:33:56,-14.47,132.27,95.0,26,0,4.7
148,Saint-Philippe,RE,2020-08-18 05:33:56,-21.36,55.77,75.2,57,20,3.36
149,Paita,PE,2020-08-18 05:33:56,-5.09,-81.11,60.66,87,67,12.08
150,Neuquen,AR,2020-08-18 05:30:19,-38.95,-68.06,50.0,46,86,8.05
151,Singkang,MY,2020-08-18 05:33:57,2.1,102.8,87.8,66,20,6.93
152,Hambantota,LK,2020-08-18 05:33:57,6.12,81.12,87.8,70,40,12.75
153,Cape Town,ZA,2020-08-18 05:29:33,-33.93,18.42,51.01,71,75,12.75
154,Kununurra,AU,2020-08-18 05:33:57,-15.77,128.73,96.8,15,0,6.93
