City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
301,San Andres,CO,84.2,overcast clouds,12.58,-81.7,Hotel Arena Blanca
302,Hithadhoo,MV,82.17,light rain,-0.6,73.08,Scoop Guest House
310,Ahuimanu,US,87.8,scattered clouds,21.44,-157.84,Paradise Bay Resort
326,Hambantota,LK,79.56,overcast clouds,6.12,81.12,Bungalow 63
327,Nishihara,JP,86.0,few clouds,26.18,127.76,Minshuku Agaihama
328,Guerrero Negro,MX,86.45,light rain,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
331,Porto Novo,BJ,75.2,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
336,Dongli,CN,77.0,scattered clouds,23.57,116.82,Chenghai Shizhang Donghuaqiao Hostel
339,Machilipatnam,IN,77.81,overcast clouds,16.17,81.13,RK Family Restaurant
341,Mogadishu,SO,76.12,scattered clouds,2.04,45.34,Hotel Juba
342,Prince Albert,CA,80.6,scattered clouds,53.2,-105.77,Holiday Inn Express & Suites Prince Albert
346,Wewak,PG,81.23,few clouds,-3.55,143.63,In Wewak Boutique Hotel
347,Lubao,PH,79.0,broken clouds,14.92,120.55,Hacienda Gracia
351,Alofi,NU,84.2,broken clouds,-19.06,-169.92,Taloa Heights
352,Fethiye,TR,84.2,clear sky,36.62,29.12,Club & Hotel Letoonia
356,Ipora,BR,79.02,clear sky,-16.44,-51.12,Oásis Motel
357,Salaga,GH,75.92,broken clouds,8.55,-0.52,Maridon Lodge
360,Baghdad,IQ,80.6,clear sky,33.34,44.4,Baghdad Hotel
361,Gimli,CA,90.0,few clouds,50.63,-96.99,Lakeview Gimli Resort
362,Huautla,MX,85.23,overcast clouds,21.03,-98.28,Hotel Huautla
364,Cabo San Lucas,MX,82.99,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
365,Labuhan,ID,75.49,clear sky,-6.88,112.21,bador sepret
373,Albert Lea,US,82.4,clear sky,43.65,-93.37,Countryside Motel Albert Lea
375,Saint-Francois,FR,78.8,few clouds,46.42,3.91,Manoir Du Bonheur
376,Warri,NG,77.4,overcast clouds,5.52,5.75,BON Hotel Delta
383,Daru,PG,78.31,clear sky,-9.08,143.21,New century hotel
384,Huntsville,US,84.2,clear sky,34.73,-86.59,Embassy Suites by Hilton Huntsville Hotel & Spa
386,Kamloops,CA,80.6,broken clouds,50.67,-120.32,Ramada by Wyndham Kamloops
391,Nombre De Dios,MX,80.6,overcast clouds,23.85,-104.23,Uraján de Luna Hotel Boutique & SPA
392,Iralaya,HN,78.8,broken clouds,15.0,-83.23,Iglesia morava renovada
395,Sakakah,SA,84.2,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
398,Namatanai,PG,83.44,clear sky,-3.67,152.43,Namatanai Hotel
404,Rockport,US,87.8,clear sky,28.02,-97.05,Holiday Inn Express & Suites Rockport - Bay View
405,Saint Anthony,US,84.0,broken clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
409,Samarai,PG,76.53,few clouds,-10.62,150.67,Nuli Sapi
410,Cotonou,BJ,75.2,scattered clouds,6.37,2.42,Novotel Cotonou Orisha
414,Bengkulu,ID,75.83,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
415,Oussouye,SN,78.8,light rain,12.48,-16.55,Auberge du Routard
418,Xushan,CN,87.01,overcast clouds,30.18,121.25,Hangzhou Bay Hotel
426,Buraydah,SA,82.4,clear sky,26.33,43.98,Mövenpick Hotel Qassim
427,Yining,CN,77.43,overcast clouds,29.04,114.56,Xiushui Hotel
428,Tabas,IR,87.8,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
429,Ibicarai,BR,77.0,scattered clouds,-14.87,-39.59,OYO Pousada E Restaurante Lá Em Casa
430,Cuzama,MX,81.0,broken clouds,20.73,-89.32,"Restaurant Y Hotel ""Santa Maria"""
433,Marsa Matruh,EG,77.0,scattered clouds,31.35,27.25,Beau Site
434,Rexburg,US,87.8,haze,43.83,-111.79,AmericInn by Wyndham Rexburg BYUI
435,Gizo,SB,83.35,scattered clouds,-8.1,156.84,Imagination Island
441,Acajutla,SV,84.2,scattered clouds,13.59,-89.83,Stop.
442,Cururupu,BR,76.12,scattered clouds,-1.83,-44.87,Pousada Través'cia
445,Tabou,CI,75.11,broken clouds,4.42,-7.35,hotêl doufoulougou
448,Darnah,LY,77.09,clear sky,32.77,22.64,زاوية الرفاعي
451,Karur,IN,79.86,overcast clouds,10.95,78.08,Hotel Valluvar
452,Aloleng,PH,80.1,moderate rain,16.13,119.78,Agno Umbrella Rocks
458,Shunyi,CN,78.01,clear sky,40.12,116.65,Beijing Mingchen Holiday Hotel
462,Kuala Terengganu,MY,78.01,few clouds,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
463,Bang Khla,TH,87.01,overcast clouds,13.72,101.21,Bang Khla Resort
464,Yanam,IN,75.74,overcast clouds,16.73,82.22,The Regency Hotel
467,Gairo,IT,77.0,clear sky,39.85,9.5,Iradas Domo - Affittacamere
468,San Jose,US,87.01,smoke,37.34,-121.89,The Westin San Jose
469,Starkville,US,84.2,clear sky,33.45,-88.82,Hilton Garden Inn Starkville
470,Biak,ID,76.66,broken clouds,-0.91,122.88,Kost Ariz
473,Sao Filipe,CV,77.0,scattered clouds,14.9,-24.5,Tortuga B&B
474,Kloulklubed,PW,83.19,heavy intensity rain,7.04,134.26,Storyboard Beach Resort
482,Foam Lake,CA,82.94,scattered clouds,51.65,-103.53,Foam Lake Campground
483,Port Hueneme,US,84.2,clear sky,34.15,-119.2,Hampton Inn Channel Islands Harbor
484,San Fernando,PH,80.6,broken clouds,15.03,120.69,Maharlika Hostel
487,Tarauaca,BR,85.03,broken clouds,-8.16,-70.77,Flat Temporada
494,Ariano Irpino,IT,77.0,clear sky,41.15,15.08,Hotel Incontro
496,Virginia Beach,US,79.0,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
498,Kant,IN,78.19,overcast clouds,27.8,79.8,Haseeb Khan shatreng
500,Voh,NC,76.87,clear sky,-20.97,164.7,Le gîte du Koniambo
505,Morgan City,US,89.6,clear sky,29.7,-91.21,Hampton Inn & Suites Morgan City
508,Provost,CA,80.37,overcast clouds,52.35,-110.27,Provost Motor Inn
510,Veraval,IN,81.12,moderate rain,20.9,70.37,Lords Inn Somnath
511,Nabire,ID,79.0,clear sky,-3.37,135.48,Hotel Nusantara Nabire
514,Golden,US,86.0,broken clouds,39.76,-105.22,"The Golden Hotel, Ascend Hotel Collection"
515,Pathankot,IN,75.63,moderate rain,32.28,75.65,Hotel Venice
521,Cefalu,IT,75.0,clear sky,38.04,14.02,Hotel La Giara
531,Sola,VU,81.18,clear sky,-13.88,167.55,Leumerus Bungalows
535,Kushima,JP,84.2,broken clouds,31.46,131.23,Hanaoka
536,Freeport,US,75.0,clear sky,40.66,-73.58,The Freeport Inn and Marina
